"","LOCATION","FREQUENCY","TIME","Value"
"5355","CAN","M","1947-01",15.6016678
"5356","CAN","M","1947-02",12.69082369
"5357","CAN","M","1947-03",-14.85671753
"5358","CAN","M","1947-04",0.375906985
"5359","CAN","M","1947-05",1.315101899
"5360","CAN","M","1947-06",8.26098169
"5361","CAN","M","1947-07",7.50357313
"5362","CAN","M","1947-08",12.07622424
"5363","CAN","M","1947-09",2.029787795
"5364","CAN","M","1947-10",-8.997545537
"5365","CAN","M","1947-11",6.196323373
"5366","CAN","M","1947-12",-1.370137682
"5367","CAN","M","1948-01",-18.39804838
"5368","CAN","M","1948-02",-19.50672646
"5369","CAN","M","1948-03",23.56339627
"5370","CAN","M","1948-04",-12.62419638
"5371","CAN","M","1948-05",-2.847587195
"5372","CAN","M","1948-06",7.671879611
"5373","CAN","M","1948-07",-15.1000274
"5374","CAN","M","1948-08",31.00925328
"5375","CAN","M","1948-09",3.408344284
"5376","CAN","M","1948-10",16.94861409
"5377","CAN","M","1948-11",2.560271647
"5378","CAN","M","1948-12",20.11654086
"5379","CAN","M","1949-01",-53.46196251
"5380","CAN","M","1949-02",22.21037669
"5381","CAN","M","1949-03",49.66560047
"5382","CAN","M","1949-04",15.89275306
"5383","CAN","M","1949-05",1.397038279
"5384","CAN","M","1949-06",-8.547809314
"5385","CAN","M","1949-07",23.30360371
"5386","CAN","M","1949-08",-21.24529593
"5387","CAN","M","1949-09",23.33374705
"5388","CAN","M","1949-10",11.31629264
"5389","CAN","M","1949-11",-32.00289292
"5390","CAN","M","1949-12",40.68337433
"5391","CAN","M","1950-01",29.33421538
"5392","CAN","M","1950-02",-1.892513975
"5393","CAN","M","1950-03",-12.95199791
"5394","CAN","M","1950-04",2.280213904
"5395","CAN","M","1950-05",8.854776644
"5396","CAN","M","1950-06",12.23439001
"5397","CAN","M","1950-07",0.301277004
"5398","CAN","M","1950-08",3.730757415
"5399","CAN","M","1950-09",-6.508719974
"5400","CAN","M","1950-10",-5.128114881
"5401","CAN","M","1950-11",2.826933779
"5402","CAN","M","1950-12",13.8795685
"5403","CAN","M","1951-01",4.270688126
"5404","CAN","M","1951-02",13.72447739
"5405","CAN","M","1951-03",-14.73456411
"5406","CAN","M","1951-04",-15.00282008
"5407","CAN","M","1951-05",-20.73287621
"5408","CAN","M","1951-06",-12.51511487
"5409","CAN","M","1951-07",-2.796236245
"5410","CAN","M","1951-08",-0.158599945
"5411","CAN","M","1951-09",12.42331288
"5412","CAN","M","1951-10",-31.0563243
