"","TIME","AUT","BEL","CZE","DEU","DNK","ESP","EST","EU27","FRA","GBR","GRC","HUN","IRL","ITA","LTU","LUX","LVA","NLD","POL","PRT","SVK","SVN","SWE"
"98","1955-02",0,16.5210488693703,0,-8.02099407035086,-12.2214757913866,0,0,0,0,0,0,0,0,-13.0274506261526,0,0,0,0,0,0,0,0,0
"99","1955-03",0,-9.42185660809975,0,-9.97988278572933,-17.7677075703277,0,0,0,0,0,0,0,0,-0.138196492588926,0,0,0,0,0,0,0,0,0
"100","1955-04",0,4.74614186851845,0,19.9432879936523,-10.9981082662703,0,0,0,0,0,0,0,0,30.6456049491006,0,0,0,0,0,0,0,0,0
"101","1955-05",0,43.6426852123401,0,10.894592410624,4.14670257948067,0,0,0,0,0,0,0,0,9.82683080759003,0,0,0,0,0,0,0,0,0
"102","1955-06",0,-13.0992446828192,0,-6.17600301400362,-23.7373824318041,0,0,0,0,0,0,0,0,7.86253210148594,0,0,0,0,0,0,0,0,0
"103","1955-07",0,32.2292507987525,0,14.9379322428398,31.1134859503942,0,0,0,0,0,0,0,0,6.32586885849644,0,0,0,0,0,0,0,0,0
"104","1955-08",0,-8.36874273900792,0,-5.24787970832772,-1.15474674987953,0,0,0,0,0,0,0,0,3.24487551480484,0,0,0,0,0,0,0,0,0
"105","1955-09",0,4.41790685684761,0,9.56054010216051,-9.31110617409408,0,0,0,0,0,0,0,0,8.37343932286392,0,0,0,0,0,0,0,0,0
"106","1955-10",0,-17.2950662911526,0,9.74070058400144,41.6731402949836,0,0,0,0,0,0,0,0,1.87734900016084,0,0,0,0,0,0,0,0,0
"107","1955-11",0,16.7274647042964,0,-3.0254808629059,-10.4718024369678,0,0,0,0,0,0,0,0,12.6363737052597,0,0,0,0,0,0,0,0,0
"108","1955-12",0,-2.29147632760364,0,0.77529205959695,7.18480962848102,0,0,0,0,0,0,0,0,4.05093898886866,0,0,0,0,0,0,0,0,0
"109","1956-01",0,-2.35687691600959,0,4.93943840279603,11.4874291090027,0,0,0,0,0,0,0,0,-12.1421847373068,0,0,0,0,0,0,0,0,0
"110","1956-02",0,-14.8357906707874,0,-26.7846357081,-29.3641370153233,0,0,0,0,0,0,0,0,1.01300672358747,0,0,0,0,0,0,0,0,0
"111","1956-03",0,17.3544489286721,0,38.488529585408,-12.3121947868454,0,0,0,0,0,0,0,0,2.8643143915872,0,0,0,0,0,0,0,0,0
"112","1956-04",0,-7.03141557741695,0,-15.9373511965269,18.4724171912454,0,0,0,0,0,0,0,0,-11.0532285403485,0,0,0,0,0,0,0,0,0
"113","1956-05",0,2.19578801343708,0,7.65974586165281,11.726555448574,0,0,0,0,0,0,0,0,3.37583114194661,0,0,0,0,0,0,0,0,0
"114","1956-06",0,12.2711372838935,0,12.0722464899707,-4.83203521654277,0,0,0,0,0,0,0,0,6.61067090281878,0,0,0,0,0,0,0,0,0
"115","1956-07",0,2.54219913577053,0,-3.33428327992986,31.473253560024,0,0,0,0,0,0,0,0,-3.3230409402788,0,0,0,0,0,0,0,0,0
"116","1956-08",0,-12.4705391296927,0,-3.52285660252694,-13.2232613779572,0,0,0,0,0,0,0,0,-6.77428094731566,0,0,0,0,0,0,0,0,0
"117","1956-09",0,9.23228253110503,0,3.06466122379849,16.2470983085221,0,0,0,0,0,0,0,0,15.6569608968861,0,0,0,0,0,0,0,0,0
"118","1956-10",0,7.00678281763554,0,-6.91424045634066,-14.5547133161884,0,0,0,0,0,0,0,0,5.47741704479552,0,0,0,0,0,0,0,0,0
"119","1956-11",0,-28.4549864261071,0,4.4178206783271,-9.62697456842243,0,0,0,0,0,0,0,0,-22.0618782611152,0,0,0,0,0,0,0,0,0
"120","1956-12",0,-15.8855259964577,0,1.97506139410541,22.1146901237974,0,0,0,0,0,0,0,0,13.4440139365071,0,0,0,0,0,0,0,0,0
"121","1957-01",0,-8.49496106129085,0,-2.80249114069987,-16.0979947921326,0,0,0,0,0,0,0,0,-17.7927202643347,0,0,0,0,0,0,0,0,0
"122","1957-02",11.9567696395649,51.0842183679719,0,7.55294764485038,23.8668479238144,0,0,0,0,8.01407349491792,0,0,59.4858797853036,17.4045581206639,0,0,0,0,0,0,0,0,0
