LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,PASSCAR,TOT,PC_CHG,A,1995,6.013875503,
AUS,PASSCAR,TOT,PC_CHG,A,1996,0.754752525,
AUS,PASSCAR,TOT,PC_CHG,A,1997,9.81489987,
AUS,PASSCAR,TOT,PC_CHG,A,1998,8.144120603,
AUS,PASSCAR,TOT,PC_CHG,A,1999,-6.295434321,
AUS,PASSCAR,TOT,PC_CHG,A,2000,1.114191376,
AUS,PASSCAR,TOT,PC_CHG,A,2001,-4.374603782,
AUS,PASSCAR,TOT,PC_CHG,A,2002,2.037578477,
AUS,PASSCAR,TOT,PC_CHG,A,2003,8.935102917,
AUS,PASSCAR,TOT,PC_CHG,A,2004,0.250462608,
AUS,PASSCAR,TOT,PC_CHG,A,2005,3.189742112,
AUS,PASSCAR,TOT,PC_CHG,A,2006,-1.709909922,
AUS,PASSCAR,TOT,PC_CHG,A,2007,6.445753133,
AUS,PASSCAR,TOT,PC_CHG,A,2008,-6.311021799,
AUS,PASSCAR,TOT,PC_CHG,A,2009,-9.418096875,
AUS,PASSCAR,TOT,PC_CHG,A,2010,9.538221333,
AUS,PASSCAR,TOT,PC_CHG,A,2011,-5.505622152,
AUS,PASSCAR,TOT,PC_CHG,A,2012,3.097822784,
AUS,PASSCAR,TOT,PC_CHG,A,2013,-1.80305276,
AUS,PASSCAR,TOT,PC_CHG,A,2014,-6.152661999,
AUS,PASSCAR,TOT,PC_CHG,A,2015,-2.994533504,
AUS,PASSCAR,TOT,PC_CHG,A,2016,-5.706218743,
AUS,PASSCAR,TOT,PC_CHG,A,2017,-7.453877271,
AUS,PASSCAR,TOT,PC_CHG,A,2018,-15.89646498,E
AUS,PASSCAR,TOT,PC_CHG,A,2019,-16.1170061,E
AUT,PASSCAR,TOT,PC_CHG,A,1958,14.36389804,
AUT,PASSCAR,TOT,PC_CHG,A,1959,9.738206024,
AUT,PASSCAR,TOT,PC_CHG,A,1960,18.06041767,
AUT,PASSCAR,TOT,PC_CHG,A,1961,1.444255569,
AUT,PASSCAR,TOT,PC_CHG,A,1962,7.493920953,
AUT,PASSCAR,TOT,PC_CHG,A,1963,4.953175729,
AUT,PASSCAR,TOT,PC_CHG,A,1964,7.072421687,
AUT,PASSCAR,TOT,PC_CHG,A,1965,15.57500156,
AUT,PASSCAR,TOT,PC_CHG,A,1966,9.593812889,
AUT,PASSCAR,TOT,PC_CHG,A,1967,0.818497719,
AUT,PASSCAR,TOT,PC_CHG,A,1968,6.696559835,
AUT,PASSCAR,TOT,PC_CHG,A,1969,-22.95173575,
AUT,PASSCAR,TOT,PC_CHG,A,1970,26.56678456,
AUT,PASSCAR,TOT,PC_CHG,A,1971,53.22155237,
AUT,PASSCAR,TOT,PC_CHG,A,1972,13.54153859,
AUT,PASSCAR,TOT,PC_CHG,A,1973,-15.63097859,
AUT,PASSCAR,TOT,PC_CHG,A,1974,-10.69675156,
AUT,PASSCAR,TOT,PC_CHG,A,1975,10.89105946,
AUT,PASSCAR,TOT,PC_CHG,A,1976,21.76413724,
AUT,PASSCAR,TOT,PC_CHG,A,1977,31.25468472,
AUT,PASSCAR,TOT,PC_CHG,A,1978,-46.51580071,
AUT,PASSCAR,TOT,PC_CHG,A,1979,35.3919345,
AUT,PASSCAR,TOT,PC_CHG,A,1980,6.183474337,
AUT,PASSCAR,TOT,PC_CHG,A,1981,-12.69578287,
AUT,PASSCAR,TOT,PC_CHG,A,1982,1.256424325,
AUT,PASSCAR,TOT,PC_CHG,A,1983,27.60110363,
AUT,PASSCAR,TOT,PC_CHG,A,1984,-15.98747059,
AUT,PASSCAR,TOT,PC_CHG,A,1985,12.53478019,
AUT,PASSCAR,TOT,PC_CHG,A,1986,8.037664318,
AUT,PASSCAR,TOT,PC_CHG,A,1987,-7.229522266,
AUT,PASSCAR,TOT,PC_CHG,A,1988,4.050225926,
AUT,PASSCAR,TOT,PC_CHG,A,1989,9.08555668,
AUT,PASSCAR,TOT,PC_CHG,A,1990,4.55363773,
AUT,PASSCAR,TOT,PC_CHG,A,1991,5.226998711,
AUT,PASSCAR,TOT,PC_CHG,A,1992,5.39010875,
AUT,PASSCAR,TOT,PC_CHG,A,1993,-10.91304429,
AUT,PASSCAR,TOT,PC_CHG,A,1994,-4.032444716,
AUT,PASSCAR,TOT,PC_CHG,A,1995,2.173110724,
AUT,PASSCAR,TOT,PC_CHG,A,1996,10.0357641,
AUT,PASSCAR,TOT,PC_CHG,A,1997,-10.61848533,
AUT,PASSCAR,TOT,PC_CHG,A,1998,7.586881502,
AUT,PASSCAR,TOT,PC_CHG,A,1999,6.190999273,
AUT,PASSCAR,TOT,PC_CHG,A,2000,-1.513453985,
AUT,PASSCAR,TOT,PC_CHG,A,2001,-5.138207073,
AUT,PASSCAR,TOT,PC_CHG,A,2002,-4.781485923,
AUT,PASSCAR,TOT,PC_CHG,A,2003,7.380506846,
AUT,PASSCAR,TOT,PC_CHG,A,2004,3.722165393,
AUT,PASSCAR,TOT,PC_CHG,A,2005,-1.084833533,
AUT,PASSCAR,TOT,PC_CHG,A,2006,0.220515402,
AUT,PASSCAR,TOT,PC_CHG,A,2007,-3.374012456,
AUT,PASSCAR,TOT,PC_CHG,A,2008,-1.504114937,
AUT,PASSCAR,TOT,PC_CHG,A,2009,8.752557908,
AUT,PASSCAR,TOT,PC_CHG,A,2010,2.867850333,
AUT,PASSCAR,TOT,PC_CHG,A,2011,8.394737082,
AUT,PASSCAR,TOT,PC_CHG,A,2012,-5.653596148,
AUT,PASSCAR,TOT,PC_CHG,A,2013,-5.051932978,
AUT,PASSCAR,TOT,PC_CHG,A,2014,-4.926418731,
AUT,PASSCAR,TOT,PC_CHG,A,2015,1.726570794,
AUT,PASSCAR,TOT,PC_CHG,A,2016,6.821798383,
AUT,PASSCAR,TOT,PC_CHG,A,2017,7.195301028,
AUT,PASSCAR,TOT,PC_CHG,A,2018,-3.467678026,
AUT,PASSCAR,TOT,PC_CHG,A,2019,-3.431866959,
BEL,PASSCAR,TOT,PC_CHG,A,1956,9.16663453,
BEL,PASSCAR,TOT,PC_CHG,A,1957,2.875512223,
BEL,PASSCAR,TOT,PC_CHG,A,1958,2.688688964,
BEL,PASSCAR,TOT,PC_CHG,A,1959,12.76040796,
BEL,PASSCAR,TOT,PC_CHG,A,1960,27.98849382,
BEL,PASSCAR,TOT,PC_CHG,A,1961,3.791406968,
BEL,PASSCAR,TOT,PC_CHG,A,1962,8.61696903,
BEL,PASSCAR,TOT,PC_CHG,A,1963,18.9420824,
BEL,PASSCAR,TOT,PC_CHG,A,1964,16.01589724,
BEL,PASSCAR,TOT,PC_CHG,A,1965,16.4262912,
BEL,PASSCAR,TOT,PC_CHG,A,1966,-1.31339363,
BEL,PASSCAR,TOT,PC_CHG,A,1967,3.009156235,
BEL,PASSCAR,TOT,PC_CHG,A,1968,13.24336909,
BEL,PASSCAR,TOT,PC_CHG,A,1969,15.2373297,
BEL,PASSCAR,TOT,PC_CHG,A,1970,-3.296399515,
BEL,PASSCAR,TOT,PC_CHG,A,1971,-11.67390192,
BEL,PASSCAR,TOT,PC_CHG,A,1972,26.27369958,
BEL,PASSCAR,TOT,PC_CHG,A,1973,1.610850666,
BEL,PASSCAR,TOT,PC_CHG,A,1974,-1.550996944,
BEL,PASSCAR,TOT,PC_CHG,A,1975,8.67768595,
BEL,PASSCAR,TOT,PC_CHG,A,1976,15.32097341,
BEL,PASSCAR,TOT,PC_CHG,A,1977,1.934299889,
BEL,PASSCAR,TOT,PC_CHG,A,1978,-1.059220253,
BEL,PASSCAR,TOT,PC_CHG,A,1979,1.138913507,
BEL,PASSCAR,TOT,PC_CHG,A,1980,-5.094431083,
BEL,PASSCAR,TOT,PC_CHG,A,1981,-11.5321337,
BEL,PASSCAR,TOT,PC_CHG,A,1982,0.532651628,
BEL,PASSCAR,TOT,PC_CHG,A,1983,-1.561326589,
BEL,PASSCAR,TOT,PC_CHG,A,1984,3.769594741,
BEL,PASSCAR,TOT,PC_CHG,A,1985,2.233111788,
BEL,PASSCAR,TOT,PC_CHG,A,1986,8.182392614,
BEL,PASSCAR,TOT,PC_CHG,A,1987,2.596605961,
BEL,PASSCAR,TOT,PC_CHG,A,1988,5.637033632,
BEL,PASSCAR,TOT,PC_CHG,A,1989,3.995237644,
BEL,PASSCAR,TOT,PC_CHG,A,1990,6.136397923,B
BEL,PASSCAR,TOT,PC_CHG,A,1991,-2.403559828,
BEL,PASSCAR,TOT,PC_CHG,A,1992,0.880497701,
BEL,PASSCAR,TOT,PC_CHG,A,1993,-19.4736526,
BEL,PASSCAR,TOT,PC_CHG,A,1994,3.180264725,
BEL,PASSCAR,TOT,PC_CHG,A,1995,-7.352561521,
BEL,PASSCAR,TOT,PC_CHG,A,1996,10.72567072,
BEL,PASSCAR,TOT,PC_CHG,A,1997,-0.281609326,
BEL,PASSCAR,TOT,PC_CHG,A,1998,14.10483545,
BEL,PASSCAR,TOT,PC_CHG,A,1999,8.292323651,
BEL,PASSCAR,TOT,PC_CHG,A,2000,5.225061834,
BEL,PASSCAR,TOT,PC_CHG,A,2001,-5.147669661,
BEL,PASSCAR,TOT,PC_CHG,A,2002,-4.320592286,
BEL,PASSCAR,TOT,PC_CHG,A,2003,-1.87630061,
BEL,PASSCAR,TOT,PC_CHG,A,2004,5.658506177,
BEL,PASSCAR,TOT,PC_CHG,A,2005,-0.963162987,
BEL,PASSCAR,TOT,PC_CHG,A,2006,9.592616354,
BEL,PASSCAR,TOT,PC_CHG,A,2007,-0.255824959,
BEL,PASSCAR,TOT,PC_CHG,A,2008,2.125020246,
BEL,PASSCAR,TOT,PC_CHG,A,2009,-11.14905019,
BEL,PASSCAR,TOT,PC_CHG,A,2010,14.94054944,
BEL,PASSCAR,TOT,PC_CHG,A,2011,4.543976322,
