"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PASSCAR","TOT","PC_CHG","A","1995",6.01387550253111,
"AUS","PASSCAR","TOT","PC_CHG","A","1996",0.754752524714781,
"AUS","PASSCAR","TOT","PC_CHG","A","1997",9.81489986952756,
"AUS","PASSCAR","TOT","PC_CHG","A","1998",8.14412060264308,
"AUS","PASSCAR","TOT","PC_CHG","A","1999",-6.29543432130878,
"AUS","PASSCAR","TOT","PC_CHG","A","2000",1.11419137574602,
"AUS","PASSCAR","TOT","PC_CHG","A","2001",-4.37460378237695,
"AUS","PASSCAR","TOT","PC_CHG","A","2002",2.03757847736904,
"AUS","PASSCAR","TOT","PC_CHG","A","2003",8.93510291722198,
"AUS","PASSCAR","TOT","PC_CHG","A","2004",0.250462608175542,
"AUS","PASSCAR","TOT","PC_CHG","A","2005",3.1897421120876,
"AUS","PASSCAR","TOT","PC_CHG","A","2006",-1.70990992174822,
"AUS","PASSCAR","TOT","PC_CHG","A","2007",6.44575313255147,
"AUS","PASSCAR","TOT","PC_CHG","A","2008",-6.31102179868596,
"AUS","PASSCAR","TOT","PC_CHG","A","2009",-9.41809687549224,
"AUS","PASSCAR","TOT","PC_CHG","A","2010",9.53822133261311,
"AUS","PASSCAR","TOT","PC_CHG","A","2011",-5.50562215219161,
"AUS","PASSCAR","TOT","PC_CHG","A","2012",3.09782278444816,
"AUS","PASSCAR","TOT","PC_CHG","A","2013",-1.80305276022572,
"AUS","PASSCAR","TOT","PC_CHG","A","2014",-6.15266199903257,
"AUS","PASSCAR","TOT","PC_CHG","A","2015",-2.99453350438862,
"AUS","PASSCAR","TOT","PC_CHG","A","2016",-5.7062187429099,
"AUS","PASSCAR","TOT","PC_CHG","A","2017",-7.4538772706614,
"AUS","PASSCAR","TOT","PC_CHG","A","2018",-15.896464983156,"E"
"AUS","PASSCAR","TOT","PC_CHG","A","2019",-16.117006098141,"E"
"AUT","PASSCAR","TOT","PC_CHG","A","1958",14.3638980418892,
"AUT","PASSCAR","TOT","PC_CHG","A","1959",9.73820602407642,
"AUT","PASSCAR","TOT","PC_CHG","A","1960",18.0604176726219,
"AUT","PASSCAR","TOT","PC_CHG","A","1961",1.44425556933064,
"AUT","PASSCAR","TOT","PC_CHG","A","1962",7.49392095349688,
"AUT","PASSCAR","TOT","PC_CHG","A","1963",4.95317572873569,
"AUT","PASSCAR","TOT","PC_CHG","A","1964",7.07242168741974,
"AUT","PASSCAR","TOT","PC_CHG","A","1965",15.5750015644882,
"AUT","PASSCAR","TOT","PC_CHG","A","1966",9.59381288861214,
"AUT","PASSCAR","TOT","PC_CHG","A","1967",0.818497719075781,
"AUT","PASSCAR","TOT","PC_CHG","A","1968",6.69655983534254,
"AUT","PASSCAR","TOT","PC_CHG","A","1969",-22.9517357522869,
"AUT","PASSCAR","TOT","PC_CHG","A","1970",26.5667845646386,
"AUT","PASSCAR","TOT","PC_CHG","A","1971",53.2215523737754,
"AUT","PASSCAR","TOT","PC_CHG","A","1972",13.541538587647,
"AUT","PASSCAR","TOT","PC_CHG","A","1973",-15.6309785943761,
"AUT","PASSCAR","TOT","PC_CHG","A","1974",-10.6967515589736,
"AUT","PASSCAR","TOT","PC_CHG","A","1975",10.8910594618549,
"AUT","PASSCAR","TOT","PC_CHG","A","1976",21.7641372382768,
"AUT","PASSCAR","TOT","PC_CHG","A","1977",31.2546847210457,
"AUT","PASSCAR","TOT","PC_CHG","A","1978",-46.5158007136678,
"AUT","PASSCAR","TOT","PC_CHG","A","1979",35.3919344954163,
"AUT","PASSCAR","TOT","PC_CHG","A","1980",6.18347433701825,
"AUT","PASSCAR","TOT","PC_CHG","A","1981",-12.6957828677905,
"AUT","PASSCAR","TOT","PC_CHG","A","1982",1.2564243250998,
"AUT","PASSCAR","TOT","PC_CHG","A","1983",27.6011036265566,
"AUT","PASSCAR","TOT","PC_CHG","A","1984",-15.9874705854852,
"AUT","PASSCAR","TOT","PC_CHG","A","1985",12.5347801892042,
"AUT","PASSCAR","TOT","PC_CHG","A","1986",8.03766431779783,
"AUT","PASSCAR","TOT","PC_CHG","A","1987",-7.22952226566224,
"AUT","PASSCAR","TOT","PC_CHG","A","1988",4.05022592621525,
"AUT","PASSCAR","TOT","PC_CHG","A","1989",9.08555667952202,
"AUT","PASSCAR","TOT","PC_CHG","A","1990",4.5536377302447,
"AUT","PASSCAR","TOT","PC_CHG","A","1991",5.22699871117947,
"AUT","PASSCAR","TOT","PC_CHG","A","1992",5.39010875040744,
"AUT","PASSCAR","TOT","PC_CHG","A","1993",-10.9130442932389,
"AUT","PASSCAR","TOT","PC_CHG","A","1994",-4.03244471563532,
"AUT","PASSCAR","TOT","PC_CHG","A","1995",2.1731107237734,
"AUT","PASSCAR","TOT","PC_CHG","A","1996",10.0357640999964,
"AUT","PASSCAR","TOT","PC_CHG","A","1997",-10.6184853301091,
"AUT","PASSCAR","TOT","PC_CHG","A","1998",7.58688150224908,
"AUT","PASSCAR","TOT","PC_CHG","A","1999",6.19099927331721,
"AUT","PASSCAR","TOT","PC_CHG","A","2000",-1.51345398526967,
"AUT","PASSCAR","TOT","PC_CHG","A","2001",-5.13820707307379,
"AUT","PASSCAR","TOT","PC_CHG","A","2002",-4.78148592297839,
"AUT","PASSCAR","TOT","PC_CHG","A","2003",7.38050684632531,
"AUT","PASSCAR","TOT","PC_CHG","A","2004",3.72216539329137,
"AUT","PASSCAR","TOT","PC_CHG","A","2005",-1.08483353250325,
"AUT","PASSCAR","TOT","PC_CHG","A","2006",0.220515401977829,
"AUT","PASSCAR","TOT","PC_CHG","A","2007",-3.37401245649625,
"AUT","PASSCAR","TOT","PC_CHG","A","2008",-1.50411493651527,
"AUT","PASSCAR","TOT","PC_CHG","A","2009",8.75255790832047,
"AUT","PASSCAR","TOT","PC_CHG","A","2010",2.86785033327804,
"AUT","PASSCAR","TOT","PC_CHG","A","2011",8.39473708238601,
"AUT","PASSCAR","TOT","PC_CHG","A","2012",-5.65359614763648,
"AUT","PASSCAR","TOT","PC_CHG","A","2013",-5.05193297818518,
"AUT","PASSCAR","TOT","PC_CHG","A","2014",-4.92641873148714,
"AUT","PASSCAR","TOT","PC_CHG","A","2015",1.72657079368847,
"AUT","PASSCAR","TOT","PC_CHG","A","2016",6.82179838278427,
"AUT","PASSCAR","TOT","PC_CHG","A","2017",7.19530102790014,
"AUT","PASSCAR","TOT","PC_CHG","A","2018",-3.46767802558587,
"AUT","PASSCAR","TOT","PC_CHG","A","2019",-3.43186695908147,
"BEL","PASSCAR","TOT","PC_CHG","A","1956",9.16663453009914,
"BEL","PASSCAR","TOT","PC_CHG","A","1957",2.87551222269322,
"BEL","PASSCAR","TOT","PC_CHG","A","1958",2.68868896367006,
"BEL","PASSCAR","TOT","PC_CHG","A","1959",12.7604079585354,
"BEL","PASSCAR","TOT","PC_CHG","A","1960",27.9884938169093,
"BEL","PASSCAR","TOT","PC_CHG","A","1961",3.79140696803295,
"BEL","PASSCAR","TOT","PC_CHG","A","1962",8.61696902951199,
"BEL","PASSCAR","TOT","PC_CHG","A","1963",18.9420824027513,
"BEL","PASSCAR","TOT","PC_CHG","A","1964",16.0158972439017,
"BEL","PASSCAR","TOT","PC_CHG","A","1965",16.4262912010168,
"BEL","PASSCAR","TOT","PC_CHG","A","1966",-1.31339363004087,
"BEL","PASSCAR","TOT","PC_CHG","A","1967",3.00915623501147,
"BEL","PASSCAR","TOT","PC_CHG","A","1968",13.2433690869202,
"BEL","PASSCAR","TOT","PC_CHG","A","1969",15.2373296982538,
"BEL","PASSCAR","TOT","PC_CHG","A","1970",-3.29639951526372,
"BEL","PASSCAR","TOT","PC_CHG","A","1971",-11.6739019152911,
"BEL","PASSCAR","TOT","PC_CHG","A","1972",26.2736995807649,
"BEL","PASSCAR","TOT","PC_CHG","A","1973",1.61085066624545,
"BEL","PASSCAR","TOT","PC_CHG","A","1974",-1.5509969437617,
"BEL","PASSCAR","TOT","PC_CHG","A","1975",8.67768595041324,
"BEL","PASSCAR","TOT","PC_CHG","A","1976",15.3209734059614,
"BEL","PASSCAR","TOT","PC_CHG","A","1977",1.93429988898632,
"BEL","PASSCAR","TOT","PC_CHG","A","1978",-1.05922025344795,
"BEL","PASSCAR","TOT","PC_CHG","A","1979",1.13891350668455,
"BEL","PASSCAR","TOT","PC_CHG","A","1980",-5.09443108302107,
"BEL","PASSCAR","TOT","PC_CHG","A","1981",-11.5321337013427,
"BEL","PASSCAR","TOT","PC_CHG","A","1982",0.532651628070886,
"BEL","PASSCAR","TOT","PC_CHG","A","1983",-1.56132658921234,
"BEL","PASSCAR","TOT","PC_CHG","A","1984",3.76959474051782,
"BEL","PASSCAR","TOT","PC_CHG","A","1985",2.23311178803006,
"BEL","PASSCAR","TOT","PC_CHG","A","1986",8.18239261419369,
"BEL","PASSCAR","TOT","PC_CHG","A","1987",2.59660596107412,
"BEL","PASSCAR","TOT","PC_CHG","A","1988",5.63703363164076,
"BEL","PASSCAR","TOT","PC_CHG","A","1989",3.99523764425743,
"BEL","PASSCAR","TOT","PC_CHG","A","1990",6.1363979227058,"B"
"BEL","PASSCAR","TOT","PC_CHG","A","1991",-2.40355982817537,
"BEL","PASSCAR","TOT","PC_CHG","A","1992",0.880497700838519,
"BEL","PASSCAR","TOT","PC_CHG","A","1993",-19.4736525995616,
"BEL","PASSCAR","TOT","PC_CHG","A","1994",3.18026472460704,
"BEL","PASSCAR","TOT","PC_CHG","A","1995",-7.35256152090627,
"BEL","PASSCAR","TOT","PC_CHG","A","1996",10.7256707201534,
"BEL","PASSCAR","TOT","PC_CHG","A","1997",-0.281609325572085,
"BEL","PASSCAR","TOT","PC_CHG","A","1998",14.1048354532606,
"BEL","PASSCAR","TOT","PC_CHG","A","1999",8.29232365099342,
"BEL","PASSCAR","TOT","PC_CHG","A","2000",5.22506183354063,
"BEL","PASSCAR","TOT","PC_CHG","A","2001",-5.14766966094983,
"BEL","PASSCAR","TOT","PC_CHG","A","2002",-4.32059228579672,
"BEL","PASSCAR","TOT","PC_CHG","A","2003",-1.87630061017732,
"BEL","PASSCAR","TOT","PC_CHG","A","2004",5.65850617703728,
"BEL","PASSCAR","TOT","PC_CHG","A","2005",-0.963162986816071,
"BEL","PASSCAR","TOT","PC_CHG","A","2006",9.5926163536685,
"BEL","PASSCAR","TOT","PC_CHG","A","2007",-0.255824959469057,
"BEL","PASSCAR","TOT","PC_CHG","A","2008",2.12502024600083,
"BEL","PASSCAR","TOT","PC_CHG","A","2009",-11.1490501859326,
"BEL","PASSCAR","TOT","PC_CHG","A","2010",14.9405494399341,
"BEL","PASSCAR","TOT","PC_CHG","A","2011",4.54397632184749,
"BEL","PASSCAR","TOT","PC_CHG","A","2012",-14.9374968324621,
"BEL","PASSCAR","TOT","PC_CHG","A","2013",-0.138062238950405,
"BEL","PASSCAR","TOT","PC_CHG","A","2014",-0.643123862034913,
"BEL","PASSCAR","TOT","PC_CHG","A","2015",3.75347611188992,
"BEL","PASSCAR","TOT","PC_CHG","A","2016",7.67443809797512,
"BEL","PASSCAR","TOT","PC_CHG","A","2017",1.30449288256227,
"BEL","PASSCAR","TOT","PC_CHG","A","2018",0.562428873056476,
"BEL","PASSCAR","TOT","PC_CHG","A","2019",0.0685913483931129,
"CAN","PASSCAR","TOT","PC_CHG","A","1948",-8.21703591098263,
"CAN","PASSCAR","TOT","PC_CHG","A","1949",36.8540378362601,
"CAN","PASSCAR","TOT","PC_CHG","A","1950",64.2144316806539,
"CAN","PASSCAR","TOT","PC_CHG","A","1951",-16.7040196208725,
"CAN","PASSCAR","TOT","PC_CHG","A","1952",6.24462873450266,
"CAN","PASSCAR","TOT","PC_CHG","A","1953",23.9240394001242,
"CAN","PASSCAR","TOT","PC_CHG","A","1954",-14.080255584015,
