Timestamp,Route,Link,Direction,STT,AccSTT,TCS1,TCS2
20151120-1558, 1, 1, 1, 158, 158,2127,175
20151120-1558, 1, 1, 2,  88,  88,175,2127
20151120-1558, 1, 2, 1, 109, 267,175,174
20151120-1558, 1, 2, 2, 150, 238,174,175
20151120-1558, 1, 3, 1,  21, 288,174,615
20151120-1558, 1, 3, 2,  62, 300,615,174
20151120-1558, 1, 4, 1,  32, 320,615,243
20151120-1558, 1, 4, 2, 138, 438,243,615
20151120-1558, 1, 5, 1,  31, 351,243,448
20151120-1558, 1, 5, 2,  16, 454,448,243
20151120-1558, 1, 6, 1, 114, 465,448,118
20151120-1558, 1, 6, 2,  17, 471,118,448
20151120-1558, 1, 7, 1,  16, 481,118,496
20151120-1558, 1, 7, 2,  16, 487,496,118
20151120-1558, 1, 8, 1, 111, 592,496,610
20151120-1558, 1, 8, 2,   9, 496,610,496
20151120-1558, 1, 9, 1,  69, 661,610,103
20151120-1558, 1, 9, 2, 108, 604,103,610
20151120-1558, 1,10, 1,   7, 668,103,614
20151120-1558, 1,10, 2,  97, 701,614,103
20151120-1558, 1,11, 1,  18, 686,614,613
20151120-1558, 1,11, 2,  18, 719,613,614
20151120-1558, 1,12, 1,  13, 699,613,104
20151120-1558, 1,12, 2,  36, 755,104,613
20151120-1558, 1,13, 1,  36, 735,104,758
20151120-1558, 1,13, 2,   5, 760,758,104
20151120-1558, 2, 1, 1,  18,  18,356,183
20151120-1558, 2, 1, 2,  18,  18,183,356
20151120-1558, 2, 2, 1,  30,  48,183,196
20151120-1558, 2, 2, 2,  27,  45,196,183
20151120-1558, 2, 3, 1,  41,  89,196,26
20151120-1558, 2, 3, 2,  77, 122,26,196
20151120-1558, 2, 4, 1,  39, 128,26,193
20151120-1558, 2, 4, 2,  49, 171,193,26
20151120-1558, 2, 5, 1, 151, 279,193,37
20151120-1558, 2, 5, 2,  81, 252,37,193
20151120-1558, 2, 6, 1,  19, 298,37,152
20151120-1558, 2, 6, 2,  59, 311,152,37
20151120-1558, 2, 7, 1,  25, 323,152,760
20151120-1558, 2, 7, 2, 134, 445,760,152
20151120-1558, 3, 1, 1,  17,  17,269,39
20151120-1558, 3, 1, 2,  24,  24,39,269
20151120-1558, 3, 2, 1,  28,  45,39,116
20151120-1558, 3, 2, 2,  29,  53,116,39
20151120-1558, 3, 3, 1,  64, 109,116,133
20151120-1558, 3, 3, 2,  63, 116,133,116
