,TIME,AUT,AUT2,BEL,BEL2,CZE,CZE2,DEU,DEU2,DNK,DNK2,ESP,ESP2,EST,EST2,EU27,EU272,FRA,FRA2,GBR,GBR2,GRC,GRC2,HUN,HUN2,IRL,IRL2,ITA,ITA2,LTU,LTU2,LUX,LUX2,LVA,LVA2,NLD,NLD2,POL,POL2,PRT,PRT2,SVK,SVK2,SVN,SVN2,SWE,SWE2
,1955-01,,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
98,1955-02,0,100,16.52104887,116.5210489,0,100,-8.02099407,91.97900593,-12.22147579,87.77852421,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,-13.02745063,86.97254937,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
99,1955-03,0,100,-9.421856608,105.5426027,0,100,-9.979882786,82.79960895,-17.76770757,72.18229272,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,-0.138196493,86.85235636,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
100,1955-04,0,100,4.746141869,110.5518044,0,100,19.94328799,99.31257342,-10.99810827,64.24360602,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,30.64560495,113.4687864,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
101,1955-05,0,100,43.64268521,158.7995804,0,100,10.89459241,110.1322735,4.146702579,66.90759728,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,9.826830808,124.619172,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
102,1955-06,0,100,-13.09924468,137.9980348,0,100,-6.176003014,103.330501,-23.73738243,51.02548504,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,7.862532101,134.4173944,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
103,1955-07,0,100,32.2292508,182.4737675,0,100,14.93793224,118.7659412,31.11348595,66.90129216,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,6.325868858,142.9204625,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
104,1955-08,0,100,-8.368742739,167.2030073,0,100,-5.247879708,112.5332475,-1.15474675,66.12875166,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,3.244875515,147.5580536,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
105,1955-09,0,100,4.417906857,174.5898805,0,100,9.560540102,123.2920337,-9.311106174,59.97143338,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,8.373439323,159.9137377,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
106,1955-10,0,100,-17.29506629,144.3944449,0,100,9.740700584,135.3015416,41.67314029,84.96341295,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,1.877349,162.9158767,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
