"","LOCATION","FREQUENCY","TIME","Value"
"10335","IRL","M","1957-02",59.48587979
"10336","IRL","M","1957-03",47.21936375
"10337","IRL","M","1957-04",31.8557762
"10338","IRL","M","1957-05",13.7599562
"10339","IRL","M","1957-06",12.81054692
"10340","IRL","M","1957-07",2.675500514
"10341","IRL","M","1957-08",26.90964608
"10342","IRL","M","1957-09",-8.184829619
"10343","IRL","M","1957-10",-2.310918694
"10344","IRL","M","1957-11",3.623896682
"10345","IRL","M","1957-12",7.674922031
"10346","IRL","M","1958-01",-10.39825827
"10347","IRL","M","1958-02",5.221299646
"10348","IRL","M","1958-03",-0.146457986
"10349","IRL","M","1958-04",-5.365761946
"10350","IRL","M","1958-05",3.289689687
"10351","IRL","M","1958-06",-0.459823803
"10352","IRL","M","1958-07",9.735249465
"10353","IRL","M","1958-08",-13.70905819
"10354","IRL","M","1958-09",12.52863835
"10355","IRL","M","1958-10",1.316501096
"10356","IRL","M","1958-11",-0.433609801
"10357","IRL","M","1958-12",-5.678899574
"10358","IRL","M","1959-01",15.0451131
"10359","IRL","M","1959-02",-2.085294873
"10360","IRL","M","1959-03",-21.35282343
"10361","IRL","M","1959-04",32.24791022
"10362","IRL","M","1959-05",3.562784283
"10363","IRL","M","1959-06",-0.021125376
"10364","IRL","M","1959-07",17.56964313
"10365","IRL","M","1959-08",-11.42830322
"10366","IRL","M","1959-09",-16.76969336
"10367","IRL","M","1959-10",25.68922812
"10368","IRL","M","1959-11",5.171207083
"10369","IRL","M","1959-12",6.426902077
"10370","IRL","M","1960-01",1.77945845
"10371","IRL","M","1960-02",-13.74048163
"10372","IRL","M","1960-03",27.40675156
"10373","IRL","M","1960-04",-21.70358346
"10374","IRL","M","1960-05",12.54761875
"10375","IRL","M","1960-06",6.669440678
"10376","IRL","M","1960-07",-5.813248782
"10377","IRL","M","1960-08",26.92380642
"10378","IRL","M","1960-09",-22.70155371
"10379","IRL","M","1960-10",1.73554557
"10380","IRL","M","1960-11",-0.743542349
"10381","IRL","M","1960-12",1.537742877
"10382","IRL","M","1961-01",-4.161258513
"10383","IRL","M","1961-02",6.473006166
"10384","IRL","M","1961-03",-14.59939108
"10385","IRL","M","1961-04",17.09203323
"10386","IRL","M","1961-05",4.039700681
"10387","IRL","M","1961-06",-0.594227671
"10388","IRL","M","1961-07",-0.59601916
"10389","IRL","M","1961-08",-6.041501444
"10390","IRL","M","1961-09",10.00115121
"10391","IRL","M","1961-10",3.383424592
"10392","IRL","M","1961-11",-2.173710594
"10393","IRL","M","1961-12",4.735711523
"10394","IRL","M","1962-01",-1.931895451
"10395","IRL","M","1962-02",-0.046946778
"10396","IRL","M","1962-03",3.076272349
"10397","IRL","M","1962-04",2.132662196
"10398","IRL","M","1962-05",-4.885517734
"10399","IRL","M","1962-06",-3.431947007
"10400","IRL","M","1962-07",3.070755172
"10401","IRL","M","1962-08",0.717380292
"10402","IRL","M","1962-09",-0.144885488
"10403","IRL","M","1962-10",2.842094861
"10404","IRL","M","1962-11",3.945469201
"10405","IRL","M","1962-12",1.758777089
"10406","IRL","M","1963-01",-14.02594803
"10407","IRL","M","1963-02",42.88471449
"10408","IRL","M","1963-03",-9.946020251
"10409","IRL","M","1963-04",-4.296885583
