Junction,vtype,07:00,07:15,07:30,07:45,hour1,08:00,08:15,08:30,08:45,hour2,09:00,09:15,09:30,09:45,hour3,3hour1,10:00,10:15,10:30,10:45,hour4,11:00,11:15,11:30,11:45,hour5,12:00,12:15,12:30,12:45,hour6,3hour2,13:00,13:15,13:30,13:45,hour7,14:00,14:15,14:30,14:45,hour8,15:00,15:15,15:30,15:45,hour9,3hour3,16:00,16:15,16:30,16:45,hour10,17:00,17:15,17:30,17:45,hour11,18:00,18:15,18:30,18:45,hour12,3hour4,Total
57BA,car,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,3,1,0,0,1,2,0,2,0,0,2,1,2,1,0,4,8,0,1,1,2,4,1,2,1,0,4,1,0,1,1,3,11,0,1,0,0,1,1,0,0,0,1,2,3,1,0,6,8,30
57BA,lgv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
57BA,hgv 2x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57BA,hgv 3x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57BA,hgv 4x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57BA,hgv 5x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57BA,dbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57BA,obus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57BA,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57BA,mc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57BA,pc,0,0,0,0,0,1,1,0,3,5,2,2,1,2,7,12,1,2,1,2,6,0,0,1,0,1,1,1,0,0,2,9,0,0,1,0,1,0,0,2,0,2,0,0,0,1,1,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,27
57BA,vtotal,0,0,0,1,1,1,1,1,3,6,2,2,1,3,8,15,2,2,1,3,8,0,2,1,0,3,2,3,1,0,6,17,0,1,2,2,5,1,2,3,2,8,1,0,1,2,4,17,0,1,0,0,1,1,1,0,0,2,2,4,1,0,7,10,59
57BA,ptotal,0,0,0,1,1,0.2,0.2,1,0.6,2,0.4,0.4,0.2,1.4,2.4,5.4,1.2,0.4,0.2,1.4,3.2,0,2,0.2,0,2.2,1.2,2.2,1,0,4.4,9.8,0,1,1.2,2,4.2,1,2,1.4,2,6.4,1,0,1,1.2,3.2,13.8,0,1,0,0,1,1,0.2,0,0,1.2,2,3.2,1,0,6.2,8.4,37.4
57BD,car,5,17,23,21,66,33,29,38,32,132,27,27,16,16,86,284,21,16,11,28,76,14,22,17,25,78,28,12,23,21,84,238,24,26,29,16,95,33,27,29,25,114,19,37,18,31,105,314,39,51,67,39,196,54,71,77,50,252,46,41,46,42,175,623,1459
57BD,lgv,0,1,2,1,4,3,0,0,1,4,1,1,1,4,7,15,1,6,3,1,11,0,1,1,2,4,2,6,4,0,12,27,1,1,5,3,10,1,8,2,4,15,1,2,1,3,7,32,3,3,2,8,16,5,5,5,2,17,0,2,1,3,6,39,113
57BD,hgv 2x,0,3,1,4,8,2,1,1,1,5,1,0,0,1,2,15,1,1,2,2,6,2,4,7,1,14,1,1,0,2,4,24,2,0,2,1,5,0,0,1,2,3,0,0,2,1,3,11,2,1,3,3,9,1,2,3,0,6,0,1,0,0,1,16,66
57BD,hgv 3x,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,0,1,0,1,0,1,0,1,2,4,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,10
57BD,hgv 4x,0,1,1,1,3,1,0,0,1,2,1,0,0,1,2,7,0,0,1,0,1,1,0,1,1,3,2,0,0,1,3,7,1,1,0,1,3,0,1,0,1,2,0,1,1,0,2,7,0,2,0,0,2,0,0,1,0,1,1,0,1,0,2,5,26
57BD,hgv 5x,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
57BD,dbus,0,0,0,1,1,0,1,0,1,2,0,0,1,0,1,4,0,1,0,0,1,0,0,0,1,1,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
57BD,obus,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
57BD,taxi,2,6,3,1,12,3,2,3,4,12,3,2,1,1,7,31,0,1,1,0,2,0,0,2,4,6,0,0,0,1,1,9,0,1,3,1,5,2,1,2,0,5,1,0,4,4,9,19,1,2,2,2,7,0,0,1,2,3,0,0,1,0,1,11,70
57BD,mc,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,1,0,2,0,1,3,6,2,1,0,1,4,1,2,1,1,5,1,0,0,0,1,10,20
57BD,pc,1,1,1,0,3,1,3,5,1,10,1,2,0,2,5,18,1,1,2,1,5,5,3,1,1,10,0,0,1,0,1,16,1,3,1,0,5,1,1,0,1,3,0,1,1,3,5,13,1,0,0,0,1,1,5,8,1,15,2,5,5,6,18,34,81
57BD,vtotal,8,29,32,30,99,43,36,47,42,168,34,35,19,27,115,382,25,26,22,33,106,22,30,30,35,117,34,21,28,26,109,332,31,34,40,24,129,38,38,35,34,145,22,43,27,44,136,410,48,60,74,53,235,62,85,97,56,300,50,49,54,51,204,739,1863
57BD,ptotal,7.2,33.4,33.2,38.8,112.6,46.1,35.9,44.3,44.2,170.5,35.8,36.7,20,28.7,121.2,404.3,26.8,27.5,24.7,36.1,115.1,21.9,32.8,40.9,37.8,133.4,38.9,24.6,27.2,31.2,121.9,370.4,36.4,35.2,41.8,25.4,138.8,38.2,38.5,37.6,36.5,150.8,23,42.3,30.1,43.6,139,428.6,48.6,63.3,77.9,56.3,246.1,61.9,82.4,96.5,54.6,295.4,49.1,46.3,51.3,46.2,192.9,734.4,1937.7
57CB,car,2,3,8,12,25,20,18,17,10,65,8,12,13,11,44,134,11,15,16,14,56,12,13,15,13,53,10,11,11,14,46,155,4,11,15,13,43,5,10,12,15,42,11,13,11,14,49,134,18,8,23,9,58,15,16,11,13,55,15,8,15,6,44,157,580
57CB,lgv,2,1,0,1,4,1,5,2,1,9,2,3,1,0,6,19,3,0,2,4,9,3,0,2,0,5,1,3,4,1,9,23,1,3,2,1,7,3,2,1,0,6,3,0,0,0,3,16,1,0,0,2,3,2,1,2,1,6,0,1,2,1,4,13,71
57CB,hgv 2x,2,0,1,2,5,0,1,1,1,3,1,1,3,4,9,17,1,0,1,0,2,2,1,5,2,10,1,4,2,0,7,19,0,1,2,5,8,2,2,2,1,7,1,2,1,1,5,20,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,58
57CB,hgv 3x,1,1,0,0,2,3,0,0,1,4,0,1,1,0,2,8,1,0,1,0,2,0,1,0,0,1,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
57CB,hgv 4x,1,0,1,0,2,1,0,1,1,3,2,0,1,0,3,8,2,2,1,0,5,1,0,2,0,3,2,1,0,0,3,11,0,1,0,1,2,0,1,1,1,3,1,0,0,1,2,7,0,1,0,0,1,0,1,0,1,2,0,0,0,1,1,4,30
57CB,hgv 5x,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
