Junction,vtype,07:00,07:15,07:30,07:45,hour1,08:00,08:15,08:30,08:45,hour2,09:00,09:15,09:30,09:45,hour3,3hour1,10:00,10:15,10:30,10:45,hour4,11:00,11:15,11:30,11:45,hour5,12:00,12:15,12:30,12:45,hour6,3hour2,13:00,13:15,13:30,13:45,hour7,14:00,14:15,14:30,14:45,hour8,15:00,15:15,15:30,15:45,hour9,3hour3,16:00,16:15,16:30,16:45,hour10,17:00,17:15,17:30,17:45,hour11,18:00,18:15,18:30,18:45,hour12,3hour4,Total,date
49AE,car,2,3,4,3,12,8,4,4,8,24,6,2,2,1,11,47,6,5,4,6,21,6,6,5,8,25,3,8,8,11,30,76,8,10,5,5,28,6,4,4,3,17,2,3,5,6,16,61,7,10,5,14,36,8,7,13,12,40,12,13,17,10,52,128,312,14/05/2013
49AE,lgv,0,0,1,3,4,2,1,0,2,5,0,2,2,0,4,13,2,0,2,4,8,4,1,2,0,7,0,3,2,1,6,21,2,1,0,0,3,2,1,1,3,7,3,2,1,1,7,17,0,1,1,0,2,0,1,0,0,1,0,0,1,0,1,4,55,14/05/2013
49AE,hgv 2x,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14/05/2013
49AE,hgv 3x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49AE,hgv 4x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49AE,hgv 5x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49AE,dbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14/05/2013
49AE,obus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14/05/2013
49AE,taxi,0,0,1,0,1,0,1,2,3,6,5,6,4,3,18,25,6,3,1,1,11,0,4,1,3,8,2,2,4,3,11,30,5,2,1,0,8,2,1,4,2,9,3,1,2,1,7,24,3,3,1,4,11,2,2,1,1,6,1,6,1,3,11,28,107,14/05/2013
49AE,mc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,3,14/05/2013
